sample_id,asv_id,health,n_reads,rclr
2016_S_SB_D_250,ASV1,D,0,0
2016_S_SB_D_250,ASV3,D,0,0
2016_S_SB_D_250,ASV4,D,1,-1.303092236464901
2016_S_SB_D_250,ASV6,D,0,0
2016_S_SB_D_250,ASV7,D,3,-0.20447994779679113
2016_S_SB_D_250,ASV8,D,1,-1.303092236464901
2016_S_SB_D_250,ASV9,D,19,1.6413467427015394
2016_S_SB_D_250,ASV10,D,3145,6.75047693266964
2016_S_SB_D_250,ASV11,D,1,-1.303092236464901
2016_S_SB_D_250,ASV12,D,1,-1.303092236464901
2016_S_SB_D_250,ASV15,D,3,-0.20447994779679113
2016_S_SB_D_250,ASV17,D,0,0
2016_S_SB_D_250,ASV20,D,0,0
2016_S_SB_D_250,ASV22,D,0,0
2016_S_SB_D_250,ASV25,D,0,0
2016_S_SB_D_250,ASV26,D,13659,8.219061687537991
2016_S_SB_D_250,ASV30,D,0,0
2016_S_SB_D_250,ASV35,D,0,0
2016_S_SB_D_250,ASV36,D,0,0
2016_S_SB_D_250,ASV37,D,0,0
2016_S_SB_D_250,ASV39,D,0,0
2016_S_SB_D_250,ASV40,D,0,0
2016_S_SB_D_250,ASV41,D,0,0
2016_S_SB_D_250,ASV48,D,0,0
2016_S_SB_D_250,ASV50,D,0,0
2016_S_SB_D_250,ASV52,D,0,0
2016_S_SB_D_250,ASV54,D,0,0
2016_S_SB_D_250,ASV56,D,3,-0.20447994779679113
2016_S_SB_D_250,ASV58,D,0,0
2016_S_SB_D_250,ASV64,D,0,0
2016_S_SB_D_250,ASV65,D,0,0
2016_S_SB_D_250,ASV67,D,0,0
2016_S_SB_D_250,ASV68,D,0,0
2016_S_SB_D_250,ASV69,D,0,0
2016_S_SB_D_250,ASV71,D,0,0
2016_S_SB_D_250,ASV75,D,0,0
2016_S_SB_D_250,ASV80,D,0,0
2016_S_SB_D_250,ASV82,D,0,0
2016_S_SB_D_250,ASV83,D,0,0
2016_S_SB_D_250,ASV84,D,0,0
2016_S_SB_D_250,ASV85,D,0,0
2016_S_SB_D_250,ASV86,D,0,0
2016_S_SB_D_250,ASV87,D,0,0
2016_S_SB_D_250,ASV92,D,0,0
2016_S_SB_D_250,ASV93,D,2,-0.6099450559049556
2016_S_SB_D_250,ASV94,D,0,0
2016_S_SB_D_250,ASV97,D,0,0
2016_S_SB_D_250,ASV98,D,0,0
2016_S_SB_D_250,ASV100,D,0,0
2016_S_SB_D_250,ASV103,D,0,0
2016_S_SB_D_250,ASV104,D,0,0
2016_S_SB_D_250,ASV105,D,0,0
2016_S_SB_D_250,ASV107,D,0,0
2016_S_SB_D_250,ASV108,D,0,0
2016_S_SB_D_250,ASV109,D,0,0
