phylum,class,order,family,genus,species,asv_id,ndf,ddf,f.value,p.value,fdr.bh
Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Endozoicomonadaceae,Endozoicomonas,Endozoicomonas atrinae,ASV1,4,9.908061423861978,2.8578684445400144,0.08167438727383307,0.43682862333787636
Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Endozoicomonadaceae,Endozoicomonas,Endozoicomonas atrinae,ASV3,4,9.725242798851328,2.586577928124136,0.10344432050063428,0.48755755234396425
Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Endozoicomonadaceae,Endozoicomonas,Endozoicomonas atrinae,ASV4,4,9.832570133812768,2.999120225348474,0.0733790672047198,0.4240216068687378
Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Endozoicomonadaceae,Endozoicomonas,Endozoicomonas atrinae,ASV6,4,9.803850478139163,2.361216920467751,0.12469817797988536,0.5082525736973259
Campylobacterota,Epsilonproteobacteria,Campylobacterales,Arcobacteraceae,NA,NA,ASV7,4,22.99737927141858,1.1415758168782455,0.36195903226002796,0.7435489902051091
Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,NA,ASV8,4,90.5974629556553,7.769433423971848,1.9824442670052932e-5,0.0034278337485137192
Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,NA,NA,ASV9,4,10.785189195145122,12.164468315540903,5.446850499295857e-4,0.04598698064405502
Campylobacterota,Epsilonproteobacteria,Campylobacterales,Arcobacteraceae,Halarcobacter,Halarcobacter bivalviorum,ASV10,4,79.36595353989506,0.5918730783389042,0.6695038393780157,0.8654751571686222
Pseudomonadota,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas,NA,ASV11,4,11.383441093632104,2.690416450310494,0.08529901589823348,0.44296555052946246
Verrucomicrobiota,Verrucomicrobiia,Verrucomicrobiales,Rubritaleaceae,Rubritalea,NA,ASV12,4,16.4540743275691,18.15118100424282,7.131014386940393e-6,0.001685771801072709
