phylum,class,order,family,genus,species,asv_id,VAR_p.value,chisq.value,df,p.value,q.value
Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Endozoicomonadaceae,Endozoicomonas,Endozoicomonas atrinae,ASV1,4.4927357283589806e-12,11.97493255863975,4,0.017538649916253105,0.049071937937268696
Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Endozoicomonadaceae,Endozoicomonas,Endozoicomonas atrinae,ASV3,2.6396569033861373e-9,10.734524479363667,4,0.029715316703884664,0.07177676143915317
Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Endozoicomonadaceae,Endozoicomonas,Endozoicomonas atrinae,ASV4,6.254587732915083e-11,12.515081577003514,4,0.013905097889897704,0.04303613393900533
Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Endozoicomonadaceae,Endozoicomonas,Endozoicomonas atrinae,ASV6,2.813033510403479e-9,9.830261029167023,4,0.043386065867938604,0.09733336635991922
Campylobacterota,Epsilonproteobacteria,Campylobacterales,Arcobacteraceae,NA,NA,ASV7,0.29873129444408136,4.79905319289041,4,0.3085441263000334,0.3439932296757134
Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,NA,ASV8,3.2375600497881976e-6,32.543326380225196,4,1.4812918231389005e-6,4.144552788221964e-5
Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,NA,NA,ASV9,2.2996146680339328e-8,51.56069895807862,4,1.7043261984136779e-10,1.4305762957714219e-8
Campylobacterota,Epsilonproteobacteria,Campylobacterales,Arcobacteraceae,Halarcobacter,Halarcobacter bivalviorum,ASV10,1.2361680734477326e-4,2.4812391595388945,4,0.6479983337300945,0.48235570607058553
Pseudomonadota,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas,NA,ASV11,1.0774963449380268e-9,11.413719179231922,4,0.022287511771679515,0.05846149430997945
Verrucomicrobiota,Verrucomicrobiia,Verrucomicrobiales,Rubritaleaceae,Rubritalea,NA,ASV12,7.13165680626259e-11,80.65984024711153,4,1.262416902526614e-16,2.119293475411804e-14
Pseudomonadota,Alphaproteobacteria,Rhodobacterales,NA,NA,NA,ASV15,4.242539055624846e-4,5.345403010488013,4,0.2536565711345695,0.29987901349784996
Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Endozoicomonadaceae,Endozoicomonas,Endozoicomonas atrinae,ASV17,1.9004435044646345e-6,2.6238541209821538,4,0.6226033387422476,0.4716441278835971
Verrucomicrobiota,Verrucomicrobiia,Verrucomicrobiales,Verrucomicrobiaceae,Haloferula,NA,ASV20,7.356422273220585e-19,98.51248909715129,4,2.0392704475571767e-20,6.8468863898420794e-18
Pseudomonadota,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,NA,ASV22,0.05306910785350193,9.172698443859407,4,0.05692485359043989,0.1149712916808237
Pseudomonadota,Gammaproteobacteria,Thiotrichales,Fastidiosibacteraceae,Cysteiniphilum,Cysteiniphilum litorale,ASV25,1.5133310791614972e-6,50.09116016799497,4,3.4560244627775386e-10,1.9339438184456693e-8
Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae,NA,NA,ASV26,4.793029692110456e-6,11.066726863131201,4,0.02582424377348789,0.06506961990184959
Pseudomonadota,Gammaproteobacteria,Alteromonadales,Colwelliaceae,Thalassotalea,NA,ASV30,1.5852906372166157e-6,24.69329633445073,4,5.7981713157546966e-5,7.786984863213046e-4
Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Phaeobacter,Phaeobacter italicus,ASV35,8.902047413439952e-4,17.282680136064055,4,0.0017031429207988817,0.010589504273491009
Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,NA,NA,ASV36,2.160770992581622e-6,11.79435079962904,4,0.01894787607199591,0.05214575993850423
Pseudomonadota,Betaproteobacteria,Burkholderiales,Sphaerotilaceae,Roseateles,NA,ASV37,0.19624008757673714,NA,4,NA,NA
Pseudomonadota,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,NA,ASV39,0.020086549369921772,4.791083301374776,4,0.30941298953112956,0.3439932296757134
Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Erythrobacteraceae,Qipengyuania,NA,ASV40,4.945565407689146e-5,38.690888264818135,4,8.069516948525787e-8,3.010393895939378e-6
Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Seonamhaeicola,NA,ASV41,0.08955429240646208,30.116932401835967,4,4.6333518909549205e-6,9.722850284378119e-5
Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Endozoicomonadaceae,Endozoicomonas,Endozoicomonas atrinae,ASV48,0.1467078391090334,3.353374623844261,4,0.5005201808733659,0.4275986204989639
Pseudomonadota,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,NA,ASV52,0.06628978136386048,3.217720257446424,4,0.5220735842313163,0.4367006491759352
Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Ruegeria,NA,ASV54,1.3616411753664365e-4,17.028142521898037,4,0.0019087639884762672,0.01144412260432067
Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,NA,NA,ASV56,7.437963384422112e-7,21.116176100031563,4,3.003078045762419e-4,0.0028008020417022404
Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Mesoflavibacter,Mesoflavibacter zeaxanthinifaciens,ASV58,0.018805119004659424,10.608779135080205,4,0.031331120193018674,0.07460623193642614
Pseudomonadota,Alphaproteobacteria,Hyphomonadales,Hyphomonadaceae,Henriciella,NA,ASV64,2.8723838500211606e-4,2.1671523867856997,4,0.705047253427187,0.5025920492972886
Pseudomonadota,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Marisediminitalea,Marisediminitalea aggregata,ASV68,8.525191111153297e-16,21.427216198322476,4,2.6051324648875305e-4,0.0025725817835752195
Pseudomonadota,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas,NA,ASV69,7.321613119178726e-7,13.230474437215685,4,0.010202871473971168,0.036561191693402835
Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,NA,NA,ASV71,0.003336549199229693,11.56699521838142,4,0.020879138660875828,0.05653393163702058
