phylum,class,order,family,genus,species,asv_id,time_coef,time_p.value,time_fdr.bh,antibiotic_coef,antibiotic_p.value,antibiotic_fdr.bh,disease_coef,disease_p.value,disease_fdr.bh
Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,NA,ASV8,0.09836210749160959,0.7094319706839938,0.7094319706839938,-0.6533885642857564,0.015204911899647807,0.03593229506952316,1.8997012663936088,1.5538800872797758e-4,7.251440407305621e-4
Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,NA,NA,ASV9,0.4004418564348726,0.021879672151995804,0.027846855466176476,-0.12170014246648075,0.7402397413055748,0.7971812598675421,1.8841738359324314,3.145739943373682e-8,2.2020179603615775e-7
Verrucomicrobiota,Verrucomicrobiia,Verrucomicrobiales,Rubritaleaceae,Rubritalea,NA,ASV12,2.494770979111907,3.911551557075781e-9,5.476172179906093e-8,-1.7060347171944084,0.02897145441878595,0.04930394376484283,0.3788318870718264,0.5845251028134679,0.6584252831103408
Verrucomicrobiota,Verrucomicrobiia,Verrucomicrobiales,Verrucomicrobiaceae,Haloferula,NA,ASV20,1.4033661118725678,8.451781656713129e-7,5.91624715969919e-6,-1.6510694539992419,0.007057020482670979,0.027789922809467515,0.39008611447567326,0.4167804957340686,0.5304479036615418
Pseudomonadota,Gammaproteobacteria,Thiotrichales,Fastidiosibacteraceae,Cysteiniphilum,Cysteiniphilum litorale,ASV25,0.09174509092035091,0.6601934087165949,0.7094319706839938,0.04236709483598908,0.8891366367792154,0.8891366367792154,2.446578180380971,3.365046142110349e-9,4.7110645989544884e-8
Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Erythrobacteraceae,Qipengyuania,NA,ASV40,-0.6541062988930932,1.615681142208478e-4,2.8274419988648364e-4,-0.7677323325411434,0.015399555029795639,0.03593229506952316,-0.7009227232196189,0.026806618917780474,0.05361323783556095
Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Seonamhaeicola,NA,ASV41,1.8834391516984306,2.1475754393696794e-6,7.592256631536147e-6,0.2912946414455722,0.5156297550244768,0.6015680475285563,1.0135622185457678,0.13077560231413674,0.20342871471087937
Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Thalassovita,Thalassovita mediterranea,ASV93,0.09066707123695017,0.6985656633798367,0.7094319706839938,-1.235009200531597,8.36262480376599e-7,1.1707674725272387e-5,1.4138760097467833,9.872702939342946e-4,0.003455446028770031
Verrucomicrobiota,Verrucomicrobiia,Verrucomicrobiales,Rubritaleaceae,Rubritalea,Rubritalea tangerina,ASV185,0.8026057270056091,3.113397615831802e-5,7.264594436940872e-5,-0.6968599824538061,0.031695392420256104,0.04930394376484283,-0.17179663383347274,0.6123181303921552,0.6584252831103408
Verrucomicrobiota,Verrucomicrobiia,Verrucomicrobiales,Rubritaleaceae,Rubritalea,Rubritalea tangerina,ASV217,0.7358345423842864,9.425293337018582e-5,1.8850586674037164e-4,-0.5284051900838931,0.007939977945562147,0.027789922809467515,-0.5914739733438557,0.07562568628748909,0.1323449510031059
Bacteroidota,Saprospiria,Saprospirales,Saprospiraceae,Saprospira,Saprospira grandis,ASV251,-0.8709545122401726,5.182156898080082e-6,1.4510039314624229e-5,-0.7311275908305493,0.09301964967547638,0.13022750954566692,-0.9586781801367081,0.004156883151292392,0.011639272823618697
Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,Pseudooceanicola,NA,ASV304,-0.529986844485954,4.6142120255702676e-4,7.177663150887083e-4,-0.6378049707858174,3.418925162749364e-5,2.393247613924555e-4,-0.3018744432223279,0.26013787486368245,0.3641930248091554
Bacteroidota,Saprospiria,Saprospirales,Saprospiraceae,Saprospira,Saprospira grandis,ASV392,-0.7620228161007044,2.169216180438899e-6,7.592256631536147e-6,-0.6301121933561625,0.11937005332873664,0.15192552241839208,-0.6794071725912194,0.014867825314809397,0.03469159240122193
Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Ascidiaceibacter,Ascidiaceibacter salegens,ASV544,0.3974741390620903,0.005356626749148739,0.007499277448808235,0.32060066587904756,0.023682521819714964,0.04736504363942993,-0.10966713525227789,0.6584252831103408,0.6584252831103408
