qseqid,analysis,signature_accession,interproName,Description,name
WHN66045.1,CDD,cd06170,NA,"C-terminal DNA-binding domain of LuxR-like proteins. This domain contains a helix-turn-helix motif and binds DNA. Proteins belonging to this group are response regulators; some act as transcriptional activators, others as transcriptional repressors. Many are active as homodimers. Many are two domain proteins in which the DNA binding property of the C-terminal DNA binding domain is modulated by modifications of the N-terminal domain.  For example in the case of Lux R which participates in the regulation of gene expression in response to fluctuations in cell-population density (quorum-sensing), a signaling molecule, the pheromone Acyl HSL (N-acyl derivatives of homoserine lactone), binds to the N-terminal domain and leads to LuxR dimerization.  For others phophorylation of the N-terminal domain leads to multimerization, for example Escherichia coli NarL and Sinorhizobium melilot FixJ. NarL controls gene expression of many respiratory-related operons when environmental nitrate or nitrite is present under anerobic conditions. FixJ is involved in the transcriptional activation of nitrogen fixation genes. The group also includes small proteins which lack an N-terminal signaling domain, such as Bacillus subtilis GerE.  GerE is dimeric and acts in conjunction with sigmaK as an activator or a repressor modulating the expression of various genes in particular those encoding the spore-coat. These LuxR family regulators may share a similar organization of their target binding sites. For example the LuxR dimer binds the lux box, a 20bp inverted repeat, GerE dimers bind two 12bp consensus sequences in inverted orientation having the central four bases overlap, and the NarL dimer binds two 7bp inverted repeats separated by 2 bp. [[cite:PUB00120716], [cite:PUB00016948], [cite:PUB00120717], [cite:PUB00120718], [cite:PUB00016941], [cite:PUB00016942], [cite:PUB00016947], [cite:PUB00038934], [cite:PUB00038234]]",helix-turn-helix transcriptional regulator [Cysteiniphilum sp. QT6929]
WHN66586.1,CDD,cd06170,NA,"C-terminal DNA-binding domain of LuxR-like proteins. This domain contains a helix-turn-helix motif and binds DNA. Proteins belonging to this group are response regulators; some act as transcriptional activators, others as transcriptional repressors. Many are active as homodimers. Many are two domain proteins in which the DNA binding property of the C-terminal DNA binding domain is modulated by modifications of the N-terminal domain.  For example in the case of Lux R which participates in the regulation of gene expression in response to fluctuations in cell-population density (quorum-sensing), a signaling molecule, the pheromone Acyl HSL (N-acyl derivatives of homoserine lactone), binds to the N-terminal domain and leads to LuxR dimerization.  For others phophorylation of the N-terminal domain leads to multimerization, for example Escherichia coli NarL and Sinorhizobium melilot FixJ. NarL controls gene expression of many respiratory-related operons when environmental nitrate or nitrite is present under anerobic conditions. FixJ is involved in the transcriptional activation of nitrogen fixation genes. The group also includes small proteins which lack an N-terminal signaling domain, such as Bacillus subtilis GerE.  GerE is dimeric and acts in conjunction with sigmaK as an activator or a repressor modulating the expression of various genes in particular those encoding the spore-coat. These LuxR family regulators may share a similar organization of their target binding sites. For example the LuxR dimer binds the lux box, a 20bp inverted repeat, GerE dimers bind two 12bp consensus sequences in inverted orientation having the central four bases overlap, and the NarL dimer binds two 7bp inverted repeats separated by 2 bp. [[cite:PUB00120716], [cite:PUB00016948], [cite:PUB00120717], [cite:PUB00120718], [cite:PUB00016941], [cite:PUB00016942], [cite:PUB00016947], [cite:PUB00038934], [cite:PUB00038234]]",LuxR C-terminal-related transcriptional regulator [Cysteiniphilum sp. QT6929]
WHN66046.1,CDD,cd06170,NA,"C-terminal DNA-binding domain of LuxR-like proteins. This domain contains a helix-turn-helix motif and binds DNA. Proteins belonging to this group are response regulators; some act as transcriptional activators, others as transcriptional repressors. Many are active as homodimers. Many are two domain proteins in which the DNA binding property of the C-terminal DNA binding domain is modulated by modifications of the N-terminal domain.  For example in the case of Lux R which participates in the regulation of gene expression in response to fluctuations in cell-population density (quorum-sensing), a signaling molecule, the pheromone Acyl HSL (N-acyl derivatives of homoserine lactone), binds to the N-terminal domain and leads to LuxR dimerization.  For others phophorylation of the N-terminal domain leads to multimerization, for example Escherichia coli NarL and Sinorhizobium melilot FixJ. NarL controls gene expression of many respiratory-related operons when environmental nitrate or nitrite is present under anerobic conditions. FixJ is involved in the transcriptional activation of nitrogen fixation genes. The group also includes small proteins which lack an N-terminal signaling domain, such as Bacillus subtilis GerE.  GerE is dimeric and acts in conjunction with sigmaK as an activator or a repressor modulating the expression of various genes in particular those encoding the spore-coat. These LuxR family regulators may share a similar organization of their target binding sites. For example the LuxR dimer binds the lux box, a 20bp inverted repeat, GerE dimers bind two 12bp consensus sequences in inverted orientation having the central four bases overlap, and the NarL dimer binds two 7bp inverted repeats separated by 2 bp. [[cite:PUB00120716], [cite:PUB00016948], [cite:PUB00120717], [cite:PUB00120718], [cite:PUB00016941], [cite:PUB00016942], [cite:PUB00016947], [cite:PUB00038934], [cite:PUB00038234]]",helix-turn-helix transcriptional regulator [Cysteiniphilum sp. QT6929]
WHN66683.1,CDD,cd09008,5'-methylthioadenosine/S-adenosylhomocysteine nucleosidases,"This subfamily includes both bacterial and plant 5'-methylthioadenosine/S-adenosylhomocysteine (MTA/SAH) nucleosidases (MTANs): bacterial MTANs show comparable efficiency in hydrolyzing MTA and SAH, while plant enzymes are highly specific for MTA and are unable to metabolize SAH or show significantly reduced activity towards SAH. MTAN is involved in methionine and S-adenosyl-methionine recycling, polyamine biosynthesis, and bacterial quorum sensing. This subfamily belongs to the nucleoside phosphorylase-I (NP-I) family, whose members accept a range of purine nucleosides as well as the pyrimidine nucleoside uridine. The NP-1 family  includes phosphorolytic nucleosidases, such as purine nucleoside phosphorylase (PNPs, EC. 2.4.2.1), uridine phosphorylase (UP, EC 2.4.2.3), and 5'-deoxy-5'-methylthioadenosine phosphorylase (MTAP, EC 2.4.2.28), and hydrolytic nucleosidases, such as AMP nucleosidase (AMN, EC 3.2.2.4), and 5'-methylthioadenosine/S-adenosylhomocysteine (MTA/SAH) nucleosidase (MTAN, EC 3.2.2.16). The NP-I family is distinct from nucleoside phosphorylase-II, which belongs to a different structural family. [[cite:PUB00096490], [cite:PUB00051449], [cite:PUB00050679], [cite:PUB00049129], [cite:PUB00141246], [cite:PUB00041317], [cite:PUB00038746], [cite:PUB00013829], [cite:PUB00080135]]",5'-methylthioadenosine/adenosylhomocysteine nucleosidase [Cysteiniphilum sp. QT6929]
WHN66683.1,PANTHER,PTHR46832,5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase,"The MtnN subfamily proteins are enzymes that catalyze the irreversible cleavage of the glycosidic bond in 5'-methylthioadenosine (MTA) and S-adenosylhomocysteine (SAH/AdoHcy), producing adenine and the corresponding thioribose, 5'-methylthioribose, and S-ribosylhomocysteine. They also cleave 5'-deoxyadenosine, a by-product of radical S-adenosylmethionine (SAM) enzymes, into 5-deoxyribose and adenine. This activity is crucial for preventing the toxic accumulation of 5'-deoxyadenosine, which inhibits radical SAM enzymes such as biotin synthase and lipoic acid synthase. The MtnN subfamily belongs to the larger PNP/UDP phosphorylase family and plays key roles in S-adenosylmethionine recycling and autoinducer-2 biosynthesis, which is part of bacterial quorum sensing.",5'-methylthioadenosine/adenosylhomocysteine nucleosidase [Cysteiniphilum sp. QT6929]
WHN65640.1,PFAM,PF01709,TACO1/YebC second and third domain,"This is a family of transcriptional regulators. In mammals, it activates the transcription of mitochondrially-encoded COX1 [[cite:PUB00057436]]. In bacteria, it negatively regulates the quorum-sensing response regulator by binding to its promoter region [[cite:PUB00057437]]. This entry represents the second and third domains in this protein, with one domain nested within the other.",YebC/PmpR family DNA-binding transcriptional regulator [Cysteiniphilum sp. QT6929]
WHN66044.1,CDD,cd06170,NA,"C-terminal DNA-binding domain of LuxR-like proteins. This domain contains a helix-turn-helix motif and binds DNA. Proteins belonging to this group are response regulators; some act as transcriptional activators, others as transcriptional repressors. Many are active as homodimers. Many are two domain proteins in which the DNA binding property of the C-terminal DNA binding domain is modulated by modifications of the N-terminal domain.  For example in the case of Lux R which participates in the regulation of gene expression in response to fluctuations in cell-population density (quorum-sensing), a signaling molecule, the pheromone Acyl HSL (N-acyl derivatives of homoserine lactone), binds to the N-terminal domain and leads to LuxR dimerization.  For others phophorylation of the N-terminal domain leads to multimerization, for example Escherichia coli NarL and Sinorhizobium melilot FixJ. NarL controls gene expression of many respiratory-related operons when environmental nitrate or nitrite is present under anerobic conditions. FixJ is involved in the transcriptional activation of nitrogen fixation genes. The group also includes small proteins which lack an N-terminal signaling domain, such as Bacillus subtilis GerE.  GerE is dimeric and acts in conjunction with sigmaK as an activator or a repressor modulating the expression of various genes in particular those encoding the spore-coat. These LuxR family regulators may share a similar organization of their target binding sites. For example the LuxR dimer binds the lux box, a 20bp inverted repeat, GerE dimers bind two 12bp consensus sequences in inverted orientation having the central four bases overlap, and the NarL dimer binds two 7bp inverted repeats separated by 2 bp. [[cite:PUB00120716], [cite:PUB00016948], [cite:PUB00120717], [cite:PUB00120718], [cite:PUB00016941], [cite:PUB00016942], [cite:PUB00016947], [cite:PUB00038934], [cite:PUB00038234]]",helix-turn-helix transcriptional regulator [Cysteiniphilum sp. QT6929]
WHN65752.1,PANTHER,PTHR32196,ABC transporter permease component,"This family of proteins is involved in the transport of various substrates across cellular membranes. They are part of ATP-binding cassette (ABC) transporter complexes, which are typically composed of multiple subunits that work together to import or export substrates. The proteins in this family are likely responsible for the translocation of substrates, which include sugars such as fructose, ribose, galactose, xylose, arabinose, and autoinducer 2 (AI-2), a molecule involved in bacterial quorum sensing. These permease proteins are integral membrane components and are essential for the high-affinity uptake of nutrients and other compounds, playing a crucial role in cellular metabolism and communication.",ribose ABC transporter permease [Cysteiniphilum sp. QT6929]
WHN65690.1,PFAM,PF01594,AI-2E family transporter,"This family includes four different proteins from  E. coli alone. One of them, YdgG or TqsA, has been shown to mediate transport of the quorum-sensing signal autoinducer 2 (AI-2). It is not clear if TqsA enhances secretion of AI-2 or inhibits AI-2 uptake. By altering the intracellular concentration of AI-2, TqsA affects gene expression in biofilms and biofilm formation [[cite:PUB00076990]]. TsqA belongs to the AI-2 exporter (AI-2E) superfamily [[cite:PUB00076989]].",AI-2E family transporter [Cysteiniphilum sp. QT6929]
WHN66199.1,CDD,cd06170,NA,"C-terminal DNA-binding domain of LuxR-like proteins. This domain contains a helix-turn-helix motif and binds DNA. Proteins belonging to this group are response regulators; some act as transcriptional activators, others as transcriptional repressors. Many are active as homodimers. Many are two domain proteins in which the DNA binding property of the C-terminal DNA binding domain is modulated by modifications of the N-terminal domain.  For example in the case of Lux R which participates in the regulation of gene expression in response to fluctuations in cell-population density (quorum-sensing), a signaling molecule, the pheromone Acyl HSL (N-acyl derivatives of homoserine lactone), binds to the N-terminal domain and leads to LuxR dimerization.  For others phophorylation of the N-terminal domain leads to multimerization, for example Escherichia coli NarL and Sinorhizobium melilot FixJ. NarL controls gene expression of many respiratory-related operons when environmental nitrate or nitrite is present under anerobic conditions. FixJ is involved in the transcriptional activation of nitrogen fixation genes. The group also includes small proteins which lack an N-terminal signaling domain, such as Bacillus subtilis GerE.  GerE is dimeric and acts in conjunction with sigmaK as an activator or a repressor modulating the expression of various genes in particular those encoding the spore-coat. These LuxR family regulators may share a similar organization of their target binding sites. For example the LuxR dimer binds the lux box, a 20bp inverted repeat, GerE dimers bind two 12bp consensus sequences in inverted orientation having the central four bases overlap, and the NarL dimer binds two 7bp inverted repeats separated by 2 bp. [[cite:PUB00120716], [cite:PUB00016948], [cite:PUB00120717], [cite:PUB00120718], [cite:PUB00016941], [cite:PUB00016942], [cite:PUB00016947], [cite:PUB00038934], [cite:PUB00038234]]",UvrY/SirA/GacA family response regulator transcription factor [Cysteiniphilum sp. QT6929]
